user_id,night_plays
user_2,6
user_82,6
user_22,5
user_39,5
user_40,5
user_44,5
user_51,5
user_70,5
user_16,4
user_27,4
user_52,4
user_6,4
user_61,4
user_8,4
user_89,4
user_95,4
user_18,3
user_25,3
user_26,3
user_32,3
user_34,3
user_42,3
user_45,3
user_47,3
user_5,3
user_58,3
user_68,3
user_7,3
user_76,3
user_91,3
user_99,3
user_1,2
user_10,2
user_13,2
user_14,2
user_15,2
user_19,2
user_20,2
user_21,2
user_29,2
user_3,2
user_31,2
user_35,2
user_36,2
user_46,2
user_49,2
user_50,2
user_54,2
user_55,2
user_59,2
user_60,2
user_64,2
user_66,2
user_72,2
user_75,2
user_84,2
user_85,2
user_88,2
user_9,2
user_90,2
user_92,2
user_96,2
user_97,2
user_100,1
user_12,1
user_17,1
user_23,1
user_24,1
user_28,1
user_30,1
user_33,1
user_41,1
user_43,1
user_48,1
user_53,1
user_56,1
user_62,1
user_63,1
user_65,1
user_67,1
user_71,1
user_73,1
user_74,1
user_77,1
user_78,1
user_79,1
user_80,1
user_81,1
user_83,1
user_93,1
user_94,1
user_98,1
